,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,FinishedBsmtAreaSF,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,BsmtHalfBath,TotalBathBasement,FullBath,HalfBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,agebybuilt,agebyremodel,TotalGrBsmtSF,OA1,OA2
229,230,120,RL,43.0,3182,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,16,1357,1373,GasA,Ex,Y,SBrkr,1555,0,0,1555,1555,1571,0,0,0.0,2,0,2.0,2.0,2,1,Gd,5.0,5,7,Typ,1,TA,Attchd,2005.0,Fin,2,430,TA,TA,Y,143,20,0,0,0,20,0,NA,NA,NA,0,5,2009,WD,Normal,192500,4,3,2928,2944,3374
230,231,20,RL,73.0,8760,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,0,1194,1194,GasA,TA,Y,SBrkr,1194,0,0,1194,1194,1194,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,6,Typ,0,NA,Attchd,1959.0,RFn,1,312,TA,TA,Y,0,0,120,0,0,120,0,NA,NA,NA,0,4,2010,WD,Normal,148000,51,51,2388,2608,2920
231,232,60,RL,174.0,15138,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,506,Gd,TA,PConc,Gd,TA,No,GLQ,689,Unf,0,689,773,1462,GasA,Ex,Y,SBrkr,1490,1304,0,2794,2794,3483,1,0,1.0,2,1,2.5,3.5,4,1,Ex,8.5,9,9,Typ,1,TA,Attchd,1995.0,Fin,3,810,TA,TA,Y,0,146,202,0,0,348,0,NA,NA,NA,0,7,2009,WD,Normal,403000,14,13,4256,4762,5572
232,233,160,RM,21.0,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsI,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,0,483,483,GasA,TA,Y,SBrkr,483,504,0,987,987,987,0,0,0.0,1,1,1.5,1.5,2,1,TA,4.5,5,5,Typ,1,Po,Attchd,1972.0,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,94500,34,34,1470,1767,2055
233,234,20,RL,75.0,10650,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,Gd,Av,LwQ,182,ALQ,712,894,0,894,GasA,TA,Y,SBrkr,894,0,0,894,894,1788,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,5,Typ,0,NA,Attchd,1976.0,Unf,1,308,TA,TA,Y,365,0,0,0,0,0,0,NA,MnPrv,NA,0,2,2010,WD,Normal,128200,34,34,1788,1788,2096
234,235,60,RL,70.04995836802665,7851,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,625,Unf,0,625,235,860,GasA,Ex,Y,SBrkr,860,1100,0,1960,1960,2585,1,0,1.0,2,1,2.5,3.5,4,1,Gd,8.5,9,8,Typ,2,TA,BuiltIn,2002.0,Fin,2,440,TA,TA,Y,288,48,0,0,0,48,0,NA,NA,NA,0,5,2010,WD,Normal,216500,8,8,2820,2820,3260
235,236,160,RM,21.0,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604,TA,TA,CBlock,TA,TA,No,ALQ,358,Unf,0,358,125,483,GasA,TA,Y,SBrkr,483,504,0,987,987,1345,0,0,0.0,1,1,1.5,1.5,2,1,TA,4.5,5,5,Typ,0,NA,Detchd,1971.0,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,89500,37,37,1470,2074,2338
236,237,20,RL,65.0,8773,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,24,1390,1414,GasA,Ex,Y,SBrkr,1414,0,0,1414,1414,1438,0,0,0.0,2,0,2.0,2.0,3,1,Gd,6.0,6,6,Typ,0,NA,Attchd,2004.0,RFn,2,494,TA,TA,Y,132,105,0,0,0,105,0,NA,NA,NA,0,5,2010,WD,Normal,185500,6,6,2828,2926,3420
237,238,60,RL,70.04995836802665,9453,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,7,1993,2003,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,BLQ,402,Unf,0,402,594,996,GasA,Ex,Y,SBrkr,1014,730,0,1744,1744,2146,0,0,0.0,2,1,2.5,2.5,3,1,Gd,6.5,7,7,Typ,0,NA,Attchd,1993.0,RFn,2,457,TA,TA,Y,370,70,0,238,0,308,0,NA,NA,NA,0,2,2010,WD,Normal,194500,17,7,2740,2740,3197
238,239,20,RL,93.0,12030,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,254,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,0,1694,1694,GasA,Ex,Y,SBrkr,1694,0,0,1694,1694,1694,0,0,0.0,2,0,2.0,2.0,3,1,Gd,6.0,6,7,Typ,0,NA,Attchd,2007.0,Fin,3,818,TA,TA,Y,168,228,0,0,0,228,0,NA,NA,NA,0,12,2007,New,Partial,318000,0,0,3388,3642,4460
239,240,50,RL,52.0,8741,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,Fa,No,LwQ,94,Unf,0,94,641,735,GasA,TA,Y,FuseA,798,689,0,1487,1487,1581,0,0,0.0,1,1,1.5,1.5,3,1,TA,5.5,6,7,Typ,1,Gd,Detchd,1949.0,Unf,1,220,TA,TA,Y,0,140,0,0,0,140,0,NA,MnPrv,NA,0,4,2010,WD,Normal,113000,65,60,2222,2222,2442
240,241,20,FV,75.0,9000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36,Gd,TA,PConc,Gd,TA,Av,GLQ,1078,Unf,0,1078,488,1566,GasA,Ex,Y,SBrkr,1566,0,0,1566,1566,2644,1,0,1.0,2,0,2.0,3.0,3,1,Gd,7.0,7,7,Typ,0,NA,Attchd,2008.0,RFn,2,750,TA,TA,Y,144,168,0,0,0,168,0,NA,NA,NA,0,4,2010,WD,Normal,262500,2,2,3132,3168,3918
241,242,30,RM,40.0,3880,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,329,Unf,0,329,357,686,GasA,Gd,Y,SBrkr,866,0,0,866,866,1195,0,0,0.0,1,0,1.0,1.0,2,1,Gd,4.0,4,4,Typ,0,NA,NA,1945.0,NA,0,0,NA,NA,Y,58,42,0,0,0,42,0,NA,NA,NA,0,8,2007,WD,Normal,110500,62,10,1552,1552,1552
242,243,50,RM,63.0,5000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,0,540,540,GasA,Gd,N,FuseA,889,551,0,1440,1440,1440,0,0,0.0,1,0,1.0,1.0,3,1,TA,5.0,5,6,Typ,0,NA,Attchd,1940.0,Unf,1,352,Fa,TA,Y,0,0,77,0,0,77,0,NA,NA,NA,0,4,2006,WD,Normal,79000,106,56,1980,1980,2332
243,244,160,RL,75.0,10762,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,0,626,626,GasA,TA,Y,SBrkr,626,591,0,1217,1217,1217,0,0,0.0,1,1,1.5,1.5,3,1,TA,5.5,6,6,Typ,1,TA,Attchd,1980.0,RFn,1,288,TA,TA,Y,0,28,0,0,0,28,0,NA,NA,NA,0,4,2009,WD,Normal,120000,29,29,1843,1843,2131
244,245,60,RL,70.04995836802665,8880,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,695,Unf,0,695,253,948,GasA,Ex,Y,SBrkr,1222,888,0,2110,2110,2805,1,0,1.0,2,1,2.5,3.5,3,1,Gd,7.5,8,8,Typ,2,Fa,Attchd,1994.0,RFn,2,463,TA,TA,Y,0,130,0,0,0,130,0,NA,NA,NA,0,5,2010,WD,Normal,205000,16,8,3058,3058,3521
245,246,20,RL,80.0,10400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102,TA,TA,CBlock,Gd,TA,Av,GLQ,929,Unf,0,929,916,1845,GasA,Gd,Y,SBrkr,1872,0,0,1872,1872,2801,0,1,0.5,2,0,2.0,2.5,3,1,TA,6.5,7,6,Typ,1,TA,Attchd,1988.0,Fin,2,604,TA,TA,Y,197,39,0,0,0,39,0,NA,NA,NA,0,6,2006,WD,Normal,241500,18,18,3717,3819,4423
246,247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2FmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,None,0,TA,Fa,Stone,Fa,TA,No,Unf,0,Unf,0,0,1020,1020,GasA,Gd,N,FuseP,908,1020,0,1928,1928,1928,0,0,0.0,2,0,2.0,2.0,4,2,Fa,8.0,8,9,Typ,0,NA,Detchd,1910.0,Unf,1,440,Po,Po,Y,0,60,112,0,0,172,0,NA,NA,NA,0,4,2006,WD,Normal,137000,96,56,2948,2948,3388
247,248,20,RL,75.0,11310,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,0,1367,1367,GasA,Ex,Y,SBrkr,1375,0,0,1375,1375,1375,0,0,0.0,1,0,1.0,1.0,2,1,TA,4.0,4,5,Typ,1,TA,Attchd,1954.0,Unf,2,451,TA,TA,Y,0,30,0,0,0,30,0,NA,NA,NA,0,6,2006,WD,Normal,140000,52,52,2742,2742,3193
248,249,60,RL,72.0,11317,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,0,840,840,GasA,Ex,Y,SBrkr,840,828,0,1668,1668,1668,0,0,0.0,2,1,2.5,2.5,3,1,Gd,6.5,7,8,Typ,0,NA,Attchd,2003.0,RFn,2,500,TA,TA,Y,144,68,0,0,0,68,0,NA,NA,NA,0,9,2007,WD,Normal,180000,4,4,2508,2609,3109
249,250,50,RL,70.04995836802665,159000,Pave,NA,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472,Gd,TA,CBlock,Gd,TA,Gd,Rec,697,Unf,0,697,747,1444,GasA,Gd,Y,SBrkr,1444,700,0,2144,2144,2841,0,1,0.5,2,0,2.0,2.5,4,1,Gd,7.5,8,7,Typ,2,TA,Attchd,1958.0,Fin,2,389,TA,TA,Y,0,98,0,0,0,98,0,NA,NA,Shed,500,6,2007,WD,Normal,277000,49,1,3588,4060,4449
250,251,30,RL,55.0,5350,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940,1966,Gable,CompShg,Wd Sdng,Plywood,None,0,TA,Po,CBlock,TA,TA,No,Unf,0,Unf,0,0,728,728,GasA,Ex,Y,SBrkr,1306,0,0,1306,1306,1306,0,0,0.0,1,0,1.0,1.0,3,1,Fa,5.0,5,6,Mod,0,NA,NA,1940.0,NA,0,0,NA,NA,Y,263,0,0,0,0,0,0,NA,GdWo,Shed,450,5,2010,WD,Normal,76500,70,44,2034,2034,2034
251,252,120,RM,44.0,4750,Pave,NA,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481,Gd,TA,PConc,Gd,TA,Gd,GLQ,1573,Unf,0,1573,0,1573,GasA,Ex,Y,SBrkr,1625,0,0,1625,1625,3198,1,1,1.5,2,0,2.0,3.5,2,1,Gd,6.5,7,5,Typ,1,Gd,Attchd,2006.0,Fin,2,538,TA,TA,Y,123,0,0,0,153,153,0,NA,NA,NA,0,12,2007,WD,Family,235000,1,0,3198,3679,4217
252,253,60,RL,65.0,8366,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,0,798,798,GasA,Ex,Y,SBrkr,798,842,0,1640,1640,1640,0,0,0.0,2,1,2.5,2.5,3,1,Gd,6.5,7,6,Typ,0,NA,Attchd,2004.0,RFn,2,520,TA,TA,Y,138,45,0,0,0,45,0,NA,NA,NA,0,12,2008,WD,Normal,173000,4,4,2438,2438,2958
253,254,80,RL,85.0,9350,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,SLvl,6,7,1964,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,108,TA,TA,CBlock,Gd,TA,Gd,LwQ,270,ALQ,580,850,452,1302,GasA,Ex,Y,SBrkr,1302,0,0,1302,1302,2152,0,1,0.5,2,0,2.0,2.5,3,1,Gd,6.5,7,7,Min1,0,NA,Attchd,1964.0,RFn,1,309,TA,TA,Y,333,0,0,0,0,0,0,NA,MnPrv,NA,0,10,2007,CWD,Normal,158000,43,16,2604,2712,3021
254,255,20,RL,70.0,8400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Rec,922,Unf,0,922,392,1314,GasA,TA,Y,SBrkr,1314,0,0,1314,1314,2236,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,5,Typ,0,NA,Attchd,1957.0,RFn,1,294,TA,TA,Y,250,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,145000,53,53,2628,2628,2922
255,256,60,RL,66.0,8738,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,0,975,975,GasA,Ex,Y,SBrkr,1005,1286,0,2291,2291,2291,0,0,0.0,2,1,2.5,2.5,4,1,Gd,7.5,8,8,Typ,1,TA,BuiltIn,1999.0,Fin,2,429,TA,TA,Y,192,0,0,0,0,0,0,NA,NA,NA,0,2,2006,WD,Normal,230000,7,7,3266,3568,3997
256,257,60,FV,64.0,8791,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Rec,503,Unf,0,503,361,864,GasA,Ex,Y,SBrkr,864,864,0,1728,1728,2231,0,0,0.0,2,1,2.5,2.5,3,1,Gd,6.5,7,7,Typ,0,NA,Attchd,2003.0,RFn,2,673,TA,TA,Y,216,56,0,0,0,56,0,NA,NA,NA,0,5,2008,WD,Normal,207500,5,5,2592,2592,3265
257,258,20,RL,68.0,8814,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180,Gd,TA,PConc,Gd,TA,No,GLQ,1334,Unf,0,1334,270,1604,GasA,Ex,Y,SBrkr,1604,0,0,1604,1604,2938,1,0,1.0,2,1,2.5,3.5,3,1,Gd,7.5,8,8,Typ,1,Gd,Attchd,2006.0,RFn,2,660,TA,TA,Y,123,110,0,0,0,110,0,NA,NA,NA,0,3,2009,WD,Abnorml,220000,3,3,3208,3388,4048
258,259,60,RL,80.0,12435,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172,Gd,TA,PConc,Gd,TA,No,GLQ,361,Unf,0,361,602,963,GasA,Ex,Y,SBrkr,963,829,0,1792,1792,2153,0,0,0.0,2,1,2.5,2.5,3,1,Gd,6.5,7,7,Typ,1,TA,Attchd,2001.0,RFn,2,564,TA,TA,Y,0,96,0,245,0,341,0,NA,NA,NA,0,5,2008,WD,Normal,231500,7,7,2755,2927,3491
259,260,20,RM,70.0,12702,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,0,0,GasA,Gd,Y,FuseA,882,0,0,882,882,882,0,0,0.0,1,0,1.0,1.0,2,1,TA,4.0,4,4,Typ,0,NA,Detchd,1956.0,Unf,1,308,TA,TA,Y,0,45,0,0,0,45,0,NA,NA,NA,0,12,2008,WD,Normal,97000,52,52,882,882,1190
260,261,80,RL,120.0,19296,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Names,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399,TA,TA,CBlock,TA,TA,Gd,Rec,672,ALQ,690,1362,0,1362,GasA,TA,Y,SBrkr,1382,0,0,1382,1382,2744,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,6,Typ,1,TA,Attchd,1991.0,Unf,2,884,TA,TA,Y,0,0,252,0,0,252,0,NA,GdWo,NA,0,5,2009,WD,Normal,176000,47,47,2744,3143,4027
261,262,60,RL,69.0,9588,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CemntBd,Stone,270,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,0,1482,1482,GasA,Ex,Y,SBrkr,1482,1092,0,2574,2574,2574,0,0,0.0,2,1,2.5,2.5,3,1,Ex,6.5,7,10,Typ,1,Gd,BuiltIn,2007.0,Fin,3,868,TA,TA,Y,0,148,0,0,0,148,0,NA,NA,NA,0,11,2007,New,Partial,276000,0,0,4056,4326,5194
262,263,80,RL,88.0,8471,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46,TA,TA,CBlock,Gd,Gd,Av,ALQ,506,Unf,0,506,0,506,GasA,TA,Y,SBrkr,1212,0,0,1212,1212,1718,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,6,Typ,1,TA,Attchd,1978.0,Unf,2,492,TA,TA,Y,292,12,0,0,0,12,0,NA,GdWo,NA,0,7,2006,WD,Normal,151000,29,11,1718,1764,2256
263,264,50,RM,50.0,5500,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,LwQ,234,ALQ,692,926,0,926,GasA,TA,Y,SBrkr,926,0,390,1316,536,2242,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,6,Typ,0,NA,Detchd,1974.0,Unf,2,484,TA,TA,Y,0,0,0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,130000,81,9,2242,2242,2726
264,265,30,RM,30.0,5232,Pave,Grvl,IR3,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,0,680,680,GasA,Gd,N,FuseP,764,0,0,764,764,764,0,0,0.0,1,0,1.0,1.0,2,1,TA,4.0,4,4,Typ,0,NA,Detchd,1965.0,Unf,2,504,TA,TA,N,0,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,73000,83,4,1444,1444,1948
265,266,20,RL,78.0,12090,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210,TA,Gd,CBlock,Gd,TA,No,GLQ,588,LwQ,228,816,606,1422,GasA,TA,Y,SBrkr,1422,0,0,1422,1422,2238,0,0,0.0,2,0,2.0,2.0,3,1,Gd,6.0,6,7,Typ,1,TA,Attchd,1981.0,Fin,2,576,TA,TA,Y,276,0,0,0,0,0,0,NA,GdPrv,NA,0,6,2008,WD,Normal,175500,27,27,2844,3054,3630
266,267,60,RL,70.0,11207,Pave,NA,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,714,Unf,0,714,88,802,GasA,Gd,Y,SBrkr,802,709,0,1511,1511,2225,1,0,1.0,2,1,2.5,3.5,3,1,TA,7.5,8,8,Typ,1,TA,Attchd,1997.0,Fin,2,413,TA,TA,Y,95,75,0,0,0,75,0,NA,NA,NA,0,6,2006,WD,Normal,185000,9,9,2313,2313,2726
267,268,75,RL,60.0,8400,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,LwQ,378,Unf,0,378,342,720,GasA,Ex,Y,SBrkr,1052,720,420,2192,1352,2570,0,0,0.0,2,1,2.5,2.5,4,1,Gd,7.5,8,8,Typ,1,Gd,Detchd,1939.0,Unf,1,240,TA,TA,Y,262,24,0,0,0,24,0,NA,NA,NA,0,7,2008,WD,Normal,179500,69,11,2912,2912,3152
268,269,30,RM,71.0,6900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,403,Rec,125,528,212,740,GasA,Ex,Y,SBrkr,778,0,0,778,778,1306,0,0,0.0,1,0,1.0,1.0,2,1,TA,4.0,4,4,Typ,1,Gd,Detchd,1966.0,Fin,1,924,Ex,Ex,Y,0,25,0,0,0,25,0,NA,NA,NA,0,2,2008,WD,Normal,120500,68,53,1518,1518,2442
269,270,20,RL,70.04995836802665,7917,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174,TA,Gd,CBlock,TA,Gd,No,BLQ,751,Unf,0,751,392,1143,GasA,TA,Y,SBrkr,1113,0,0,1113,1113,1864,1,0,1.0,1,1,1.5,2.5,3,1,TA,6.5,7,6,Typ,1,Fa,Attchd,1987.0,RFn,1,504,TA,Gd,Y,370,30,0,0,0,30,0,NA,GdPrv,NA,0,5,2007,WD,Normal,148000,31,31,2256,2430,2934
270,271,60,FV,84.0,10728,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,Unf,0,0,1095,1095,GasA,Gd,Y,SBrkr,1095,844,0,1939,1939,1939,0,0,0.0,2,1,2.5,2.5,3,1,Gd,6.5,7,8,Typ,1,Gd,Attchd,2006.0,RFn,3,1053,TA,TA,Y,192,51,0,0,0,51,0,NA,NA,NA,0,8,2006,New,Partial,266000,0,0,3034,3034,4087
271,272,20,RL,73.0,39104,Pave,NA,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,Gd,LwQ,226,GLQ,1063,1289,96,1385,GasA,Ex,Y,SBrkr,1363,0,0,1363,1363,2652,1,0,1.0,1,0,1.0,2.0,2,1,TA,5.0,5,5,Mod,2,TA,Attchd,1954.0,Unf,2,439,TA,TA,Y,81,0,0,0,0,0,0,NA,NA,NA,0,4,2008,WD,Normal,241500,54,3,2748,2748,3187
